sec,queue_cnt,count
1081,4,88
1081,5,104
1081,6,97
1081,7,93
1081,8,95
1081,9,104
1081,10,116
1081,11,116
1081,12,114
1081,13,126
1081,14,120
1081,15,119
1081,16,126
1081,17,133
1081,18,131
1081,19,157
1081,20,154
1081,21,163
1081,22,177
1081,23,220
1081,24,256
1081,25,327
1081,26,461
1081,27,660
1081,28,1004
1081,29,1494
1081,30,2391
1081,31,4201
1081,32,9447
1082,1,56
1082,2,26
1082,3,31
1082,4,35
1082,5,37
1082,6,38
1082,7,43
1082,8,44
1082,9,46
1082,10,47
1082,11,44
1082,12,47
1082,13,55
1082,14,61
1082,15,59
1082,16,71
1082,17,71
1082,18,76
1082,19,89
1082,20,95
1082,21,99
1082,22,123
1082,23,134
1082,24,168
1082,25,210
1082,26,330
1082,27,493
1082,28,721
1082,29,1112
1082,30,1651
1082,31,2907
1082,32,6690
1083,1,130
1083,2,25
1083,3,31
1083,4,32
1083,5,41
1083,6,43
1083,7,43
1083,8,41
1083,9,38
1083,10,39
1083,11,45
1083,12,42
1083,13,49
1083,14,56
1083,15,72
1083,16,77
1083,17,84
1083,18,92
1083,19,103
1083,20,124
1083,21,130
1083,22,145
1083,23,177
1083,24,201
1083,25,233
1083,26,328
1083,27,479
1083,28,698
1083,29,1027
1083,30,1544
1083,31,2633
1083,32,7160
1084,1,2
1084,2,2
1084,3,3
1084,4,3
1084,5,4
1084,6,6
1084,7,7
1084,8,5
1084,9,7
1084,10,7
1084,11,14
1084,12,13
1084,13,22
1084,14,24
1084,15,28
1084,16,40
1084,17,45
1084,18,58
1084,19,82
1084,20,96
1084,21,104
1084,22,108
1084,23,134
1084,24,151
1084,25,195
1084,26,287
1084,27,411
1084,28,669
1084,29,1093
1084,30,1876
1084,31,3333
1084,32,7159
1085,1,2
1085,2,2
1085,3,4
1085,4,5
1085,5,5
1085,6,7
1085,7,8
1085,8,9
1085,9,12
1085,10,22
1085,11,17
1085,12,20
1085,13,22
1085,14,32
1085,15,38
1085,16,43
1085,17,52
1085,18,72
1085,19,82
1085,20,90
1085,21,91
1085,22,108
1085,23,121
1085,24,153
1085,25,195
1085,26,252
1085,27,382
1085,28,660
1085,29,1216
1085,30,2102
1085,31,4025
1085,32,9166
1086,1,33
1086,2,9
1086,3,8
1086,4,8
1086,5,6
1086,6,8
1086,7,9
1086,8,13
1086,9,17
1086,10,20
1086,11,23
1086,12,35
1086,13,31
1086,14,30
1086,15,33
1086,16,36
1086,17,31
1086,18,39
1086,19,55
1086,20,61
1086,21,66
1086,22,90
1086,23,105
1086,24,143
1086,25,185
1086,26,311
1086,27,536
1086,28,1026
1086,29,1985
1086,30,3516
1086,31,6371
1086,32,14232
1087,1,12575
1087,2,4
1087,3,3
1087,4,3
1087,5,3
1087,6,4
1087,7,4
1087,8,4
1087,9,5
1087,10,5
1087,11,6
1087,12,6
1087,13,6
1087,14,9
1087,15,5
1087,16,5
1087,17,5
1087,18,6
1087,19,6
1087,20,8
1087,21,6
1087,22,4
1087,23,13
1087,24,13
1087,25,18
1087,26,37
1087,27,68
1087,28,128
1087,29,270
1087,30,383
1087,31,593
1087,32,1205
