time,lba,count
1234,28835158,0
1234,31456536,0
1234,34077914,0
1234,36699292,0
1234,39320670,0
1234,41942048,0
1234,44563426,0
1234,47184804,0
1234,49806182,0
1234,52427560,312
1235,2621378,14593
1235,5242756,0
1235,7864134,0
1235,10485512,0
1235,13106890,0
1235,15728268,0
1235,18349646,0
1235,20971024,0
1235,23592402,0
1235,26213780,0
1235,28835158,0
1235,31456536,0
1235,34077914,0
1235,36699292,0
1235,39320670,0
1235,41942048,0
1235,44563426,0
1235,47184804,0
1235,49806182,0
1235,52427560,46
1236,2621378,17757
1236,5242756,0
1236,7864134,0
1236,10485512,0
1236,13106890,0
1236,15728268,0
1236,18349646,0
1236,20971024,0
1236,23592402,0
1236,26213780,0
1236,28835158,0
1236,31456536,0
1236,34077914,0
1236,36699292,0
1236,39320670,0
1236,41942048,0
1236,44563426,0
1236,47184804,0
1236,49806182,0
1236,52427560,0
1237,2621378,17922
1237,5242756,0
1237,7864134,0
1237,10485512,0
1237,13106890,0
1237,15728268,0
1237,18349646,0
1237,20971024,0
1237,23592402,0
1237,26213780,0
1237,28835158,0
1237,31456536,0
1237,34077914,0
1237,36699292,0
1237,39320670,0
1237,41942048,0
1237,44563426,0
1237,47184804,0
1237,49806182,0
1237,52427560,0
1238,2621378,17885
1238,5242756,0
1238,7864134,0
1238,10485512,0
1238,13106890,0
1238,15728268,0
1238,18349646,0
1238,20971024,0
1238,23592402,0
1238,26213780,0
1238,28835158,0
1238,31456536,0
1238,34077914,0
1238,36699292,0
1238,39320670,0
1238,41942048,0
1238,44563426,0
1238,47184804,0
1238,49806182,0
1238,52427560,0
1239,2621378,17839
1239,5242756,0
1239,7864134,0
1239,10485512,0
1239,13106890,0
1239,15728268,0
1239,18349646,0
1239,20971024,0
1239,23592402,0
1239,26213780,0
1239,28835158,0
1239,31456536,0
1239,34077914,0
1239,36699292,0
1239,39320670,0
1239,41942048,0
1239,44563426,0
1239,47184804,0
1239,49806182,0
1239,52427560,0
1240,2621378,10598
1240,5242756,0
1240,7864134,0
1240,10485512,0
1240,13106890,0
1240,15728268,0
1240,18349646,0
1240,20971024,0
1240,23592402,0
1240,26213780,0
1240,28835158,0
1240,31456536,0
1240,34077914,0
1240,36699292,0
1240,39320670,0
1240,41942048,0
1240,44563426,0
1240,47184804,0
1240,49806182,0
1240,52427560,91
1241,2621378,7966
1241,5242756,0
1241,7864134,0
1241,10485512,0
1241,13106890,0
1241,15728268,0
1241,18349646,0
1241,20971024,0
1241,23592402,0
1241,26213780,0
1241,28835158,0
1241,31456536,0
1241,34077914,0
1241,36699292,0
1241,39320670,0
1241,41942048,0
1241,44563426,0
1241,47184804,0
1241,49806182,0
1241,52427560,27
1242,2621378,13229
1242,5242756,0
1242,7864134,0
1242,10485512,0
1242,13106890,0
1242,15728268,0
1242,18349646,0
1242,20971024,0
1242,23592402,0
1242,26213780,0
1242,28835158,0
1242,31456536,0
1242,34077914,0
1242,36699292,0
1242,39320670,0
1242,41942048,0
1242,44563426,0
1242,47184804,0
1242,49806182,0
1242,52427560,0
1243,2621378,17831
1243,5242756,0
1243,7864134,0
1243,10485512,0
1243,13106890,0
1243,15728268,0
1243,18349646,0
1243,20971024,0
1243,23592402,0
1243,26213780,0
1243,28835158,0
1243,31456536,0
1243,34077914,0
1243,36699292,0
1243,39320670,0
1243,41942048,0
1243,44563426,0
1243,47184804,0
1243,49806182,0
1243,52427560,0
1244,2621378,17845
1244,5242756,0
1244,7864134,0
1244,10485512,0
1244,13106890,0
1244,15728268,0
1244,18349646,0
1244,20971024,0
1244,23592402,0
1244,26213780,0
1244,28835158,0
1244,31456536,0
1244,34077914,0
1244,36699292,0
1244,39320670,0
1244,41942048,0
1244,44563426,0
1244,47184804,0
1244,49806182,0
1244,52427560,0
1245,2621378,17844
1245,5242756,0
1245,7864134,0
1245,10485512,0
1245,13106890,0
1245,15728268,0
1245,18349646,0
1245,20971024,0
1245,23592402,0
1245,26213780,0
1245,28835158,0
1245,31456536,0
1245,34077914,0
1245,36699292,0
1245,39320670,0
1245,41942048,0
1245,44563426,0
1245,47184804,0
1245,49806182,0
1245,52427560,0
1246,2621378,17950
1246,5242756,0
1246,7864134,0
1246,10485512,0
1246,13106890,0
1246,15728268,0
1246,18349646,0
1246,20971024,0
1246,23592402,0
1246,26213780,0
1246,28835158,0
1246,31456536,0
1246,34077914,0
1246,36699292,0
1246,39320670,0
1246,41942048,0
1246,44563426,0
1246,47184804,0
1246,49806182,0
1246,52427560,0
1247,2621378,17432
1247,5242756,0
1247,7864134,0
1247,10485512,0
1247,13106890,0
1247,15728268,0
1247,18349646,0
1247,20971024,0
1247,23592402,0
1247,26213780,0
1247,28835158,0
1247,31456536,0
1247,34077914,0
1247,36699292,0
1247,39320670,0
1247,41942048,0
1247,44563426,0
1247,47184804,0
1247,49806182,0
1247,52427560,0
1248,2621378,17805
1248,5242756,0
1248,7864134,0
1248,10485512,0
1248,13106890,0
1248,15728268,0
1248,18349646,0
1248,20971024,0
1248,23592402,0
1248,26213780,0
1248,28835158,0
1248,31456536,0
1248,34077914,0
1248,36699292,0
1248,39320670,0
1248,41942048,0
1248,44563426,0
1248,47184804,0
1248,49806182,0
1248,52427560,0
1249,2621378,17513
1249,5242756,0
1249,7864134,0
1249,10485512,0
1249,13106890,0
1249,15728268,0
1249,18349646,0
1249,20971024,0
1249,23592402,0
1249,26213780,0
1249,28835158,0
1249,31456536,0
1249,34077914,0
1249,36699292,0
1249,39320670,0
1249,41942048,0
1249,44563426,0
1249,47184804,0
1249,49806182,0
1249,52427560,0
1250,2621378,12481
1250,5242756,4793
1250,7864134,0
1250,10485512,0
1250,13106890,0
1250,15728268,0
1250,18349646,0
1250,20971024,0
1250,23592402,0
1250,26213780,0
1250,28835158,0
1250,31456536,0
1250,34077914,0
1250,36699292,0
1250,39320670,0
1250,41942048,0
1250,44563426,0
1250,47184804,0
1250,49806182,0
1250,52427560,0
1251,2621378,0
1251,5242756,17047
1251,7864134,0
